"V1","V2"
"Antonio Lima","Previdencia boa tardeminha mae fez um cartao consignado pelo bmg ja tem 2 anos e esse cartao nao apareceu ela ja manteve contato com o banco e sem sucesso e o juros absurdominha mae ja procurou a agencia da Previdencia aqui em Lagarto Sergipe e os funcionarios nao resolvero o problema cancelamento ..."
"Jane Clecia","gostaria que mim informasse se uma pessoa que está contribuindo como empresária  se quando  chegar o momento de sua aposentadoria caso seu  esposo que  já está aposentado por tempo de contribuição  venha a falecer ela pode ter direito ao seu beneficio e o da pensão?"
"Zenaide de Melo","Aqui rodonia de um luga onde mais pessoas nao sao doente resbem benificio ..serigueira  ro"
"Marlene Pizzio","Previdencia Social.  E ainda Pouco! Insignificante a queda! Nao ter que ter juros nenhum ou noMaximo 1% o aposentado ganha Tao Pouco!  !!! Como ficara o salario minimo pra 2018? (. .... ) ?"
"Rita Pimenta","Cuidado!!! Pode não ser da previdência!!! Não passe dados pela internet... Cuidado"
"Rosiane Furlani","Pork quem recebe um auxílio acidente não pode fazer um empréstimo."
"Katia Silva de Oliveira","Bom dia que recebe benefício BPC pode fazer..."
"Sergio Marcolino","Boa ... tbm gostaria de saber será corrigido"
"Cleide Sousa","quem fez imprestimo ano passado vale essa lei nova"
"Fernando Morais","o RN não  faz consignado faz tempo"
"Luis Antonio De Aguiar Aguiar","Coitados da maioria dos aposentados pobres tem uns que vivem na rua inclusive já passei vídeo no YouTube de um ex-militar não alcoólatra que vive na rua ninguém acredita.A Mídia mostra aposentados enforcados nos consignados sem recursos para remédios passando necessidades porque recebem ESMO ..."
"Zenaide de Melo","Por tem muita gente nem doente sao resebe outro doente eles corto seus benificio aqui so um luga 3dois nao tem por resbem sao be. De saude  resebe"
"José Carlos Chebon","A PREVIDÊNCIApoderia lucrar com este serviço ou seja bancar empréstimo  ao APOSENTADO e PENSIONISTAS.garanto que diminuiriao déficit."
"Previdência Social","Previdência Social shared a link."
"Sonia Vicente Vicente","A previdência se mostra totalmente despreparada  quando da implantação de nova forma de avaliação de beneficio para quem não sabe a entrada do requerimento não sai mais com numero de beneficio  pelo menos aqui em Campo Grande - MS .Fui reclamar a respeito de um beneficio na Ouvidoria  pelo site e ..."
"Helenise Brant","Prezados entrei com pedido de aposentadoria em 12 de maio de 2017. Recebi a informação de que teria uma resposta em no máximo 40 dias. Já se passaram mais de 120 dias e não consigo sequer um retorno do INSS. Já fui na Agência liguei várias vezes para o 135 e fiz um registro na ouvidoria. A respo ..."
"Luciano Angelo","Até hoje não consegui ver quanto tempo de contribuição eu tenho nunca vi um sistema tão complicado como do INSS benza deus"
"Rosangela Thomaz da Silva","Quantas vezes terei que ir no posto de bengala sem condições de andar? Por um direito adquirido? Antes tivesse pedido o auxilio doença..."
"Rosangela Thomaz da Silva","Estou com o mesmo problema que a Helenise Brantjá tem 90 dias que aguardo resposta da previdência no pedido de aposentadoria. Já  fui na agencia reclamei na ouvidoria e nada! Se a previdência tem poucos funcionários contrate! Tem muitos desempregados no país.."
"Luis Antonio De Aguiar Aguiar","Se fôssemos um País civilizado de primeiro mundo onde as pessoas fossem tratadas com dignidade poderíamos desistir abrir mão da esmola que recebemos."
"Rosangela Thomaz da Silva","Obrigada pela orientaçao mas a ouvidoria depois de 30 dias não tem uma posição! Tem alguém mais pra ouvir nossas queixas?"
"Henriques Magalhaes","Bom ja q nao obtive resposta irei tentar na Ouvidoria. Obrigada."
"Luan Rodrigues","Na minha opinião a pergunta deveria ser essa quero abrir mão de contribuir com a previdência posso ?"
"Paulo Cesar","Tenho como atualizar o CNIS trabalhei numa empresa que descontava o percentual contribuição em 3 Sm  só que repasse para o Inss era 1 Sm .  Foi falida em 2000 .Tenho os contra cheques.Oque fazer?"
"Tonycabraltony Cabral Tony","Sou aposentado a 11 anos  continuo pagando inss. Tenho direito de pedir reajuste da minha aposentadoria.ja que esse pagamento que desconta do.meu salario para oo inss.não.me.dar mais direto de auxilio doença  nem.outros beneficio. Quero saber se tenho direito a pedir reajuste da minha aposentadoria  ..."
"Rui Pereira","E se a pessoa não concorda com os valores como fica"
"Franz Wagner","Eita! Meu INSS kk até o ano de 2079 deve funcionar. Só funciona pra eles!!"
"Marilia Schumann","https://www.google.com.br/amp/veja.abril.com.br/economia/aposentadoria-media-de-parlamentar-e-7-5-vezes-superior-a-media-do-inss/amp/"
"Franz Wagner","HISTÓRICO DE CRÉDITO DE BENEF<c3>?CIOServiço indisponível no momento. Por favor tente mais tarde. Escolha o PeríodoDe:  01/08/2017Até:  28/09/2017 CONSULTAR"
"Rodrigo Evangelista Santos","PROFUNDOS SUCESSOS."
"Rodrigo Evangelista Santos","ARDENTES REALIZAÇÕES."
"Michel Rodrigues","Dudu Gonçalvesveja esse tipo de anúncio e depois conversamos"
"Gabriel José","Kkkkkkkkkkkk"
"Ouvidoria DA Amavar","Previdência Social Conselho Federal da OAB Portal dos Aposentados Denuncie Aqui os Peritos do INSS"
"Previdência Social","http://www.previdencia.gov.br/2017/09/beneficios-conheca-os-beneficios-tributarios-destinados-pessoa-com-deficiencia/"
"Daniela Assencio","Fiz pericia no dia 09/08 para Aposentadoria com deficiência  até agora não obtive resposta pelo 135 não sabem dizem apenas informam que tenho que esperar  qual o prazo médio para resposta ? Devo ir na agência aonde fiz a perícia para saber se tem alguma pendência  ou alguma coisa errada ? A própr ..."
"Veronica Silva","Boa noite.. meu nome Veronica gostaria muito de sabe se tenho direito a algum benefício.tive um acidente quando criança até ai beleza meus pais por falta de. Conhecimentos nada fizeram hoje tenho 32anos estou sem pode trabalhar não posso caminha não malhor por que tenho cirurgia no pé direito na cox ..."
"Alex Bruno","Bom dia. Tenho um parete que está com glaucoma é ritinopatia crônica está cego.Mas o INSS só dá auxílio doença de 3 meses. O que fazer neste caso para eles darem aposentadoria por invalidez?! A incapacidade é permanente."
"Fernando Martins","Como eu consigo a isenção na minha aposentadoria por invalidez me tornei paraplégico. mas todos os meses estão lá desconto de imposto de renda retido na fonte."
"Nazare Naza","Nazare Tenho 63anos ainda posso contribuir pois tenho 11 anos de contribuçao quero continuar posso?"
"Ricardo Santos","estou tentando via internet agendar pra minha esposa um atendimento para salario maternidade mais nao estou conseguindo como fasso"
"Edna Maria Souza Dos Santos","Boa tarde gostaria de saber se meu filho que é asmático tem direito a esse benefício ???"
"Junior Concatto","o cara tem que estar desmontando ou morrendo pra ter benefecio"
"Luis Steffen","esses beneficios aos deficiente estendem-se tbm a quem passou pela reabilitação profissional pelo INSS?"
"Eva Ferreira Silva","Boa tarde quem tem problemas de audição  tem alum direito ou não"
"Alisson Hirle","O site para olhar o recurso está offiline?"
"Eliana Oliveira","Sofri uma fratura em 2000 só que descoberto em 2002 e nesse período ficava pelo INSS por período pequenos e voltava novamente no trabalho com muita dor e nesse tempo isso se repetiu por várias vezes em 2008 o osso acabou de fraturar me refiro (colo do fêmur) de lá para cá foram 5 cirurgias 2 dela ..."
"Edilene de Souza","Os direitos são dificultados qdo exigem que as 3 assinaturas de médicos sejam diferentes e precisa tb da assinatura do diretor do hospital. Desburocratização facilitaria muito a vida dos brasileiros e deficientes."
"Luis Antonio De Aguiar Aguiar","Meus amigos vcs. Sabem que a previdência ou seguridade social não é deficitária como o governo alega rombo de 150 bilhões vejam a verdade: Artigo 195 da Constituição a Seguridade social será financiada : Empregadores na folha de pagamentos sobre o faturamento e lucro(CSLL)(COFINS) Recolhimento  ..."
"Eufrási Correia da Costa","Meu nomeEufrasio correia da costaFIS uma cirurgia e marquei a pereciam ele alegado k minha doencia era ante das contribuição eu machuquei estava trabalhando registrado"
"Rodrigo Evangelista Santos","ARDENTES SUCESSOS PATRIMÔNIO NACIONAL."
"Rodrigo Evangelista Santos","PROFUNDAS REALIZACOES."
"De Jesus Bruno","Quero fazer uma perguntas"
"De Jesus Bruno","Sobre como fazer empréstimo"
"Tatyane Alves","."
"Rosângela Viana","Vivi Silva Fabiana Martos"
"Carmen Thomé","Sandra Bistratini Maurício Moniz Tereza Lázaro Tereza Lázaro"
"Previdência Social","www.inss.gov.br"
"Eni Maria","Boa tardeGostaria de um esclarecimento da previdência?Porque os laudos médicos de hospitais públicos não servem para beneficiar?Se os hospitais públicos não funcionaNão tem médicoFaltam médicos nas suas especificidades!!Meu irmão operou o coraçãoE não tem cardiologia nos hospitais públicos E ..."
"Mariudes Moraes","Não consigo imprimir extrato. Sistema fora.tente mais tarde.faz 3 meses"
"Camila Marques Queiroz","Estou há duas semanas tentando atualizar meu endereço no INSS e quando ligo 135 o sistema está sempre fora do ar. O que está havendo? Qual é a previsão para regularizar o bendito sistema?"
"Renato Alves","Eu gostaria de saber qual é a utilidade das informações do CAGED  quando o INSS exigi informações de empresas que não mais existem apresentação de Carteira de Trabalho extraviada ou inutilizada ."
"Ivonete Inácio","Boa tarde pago nove anos aposentadoria como autónoma. Tenho 60 anos gostaria de saber se posso PAGAR esses seis anos que FALTA e me aposentar? Muito obrigada."
"Beth Fernandes","Gostaria de uma informação a partir do momento que a viúva entra com o pedido de pensão por morteem quanto tempo ela recebe o benefício? No caso  o esposo se encontrava no auxílio doença Obrigada!"
"Alex Campos","Tenho uma perícia de auxílio doença marcada para 02/10/2017 e disseram que receberei o benefício no banco itaú.  Como faço para mudar para outro banco pois não tenho conta no itaú?"
"Débora Santos","Venho atraves deste canal solicitar ajuda. Pois dia 21.09 realizei pericia na agencia de Sao Bernardo do Campo avenida newton monteiro de andrade. Apresentei laudo do medico do dia 18/09 exame do dia 07/08 expliquei o acontecido para a perita e ela indeferiu meu pedido. Detalhe minha cirurgia esta a ..."
"Miranda Fênix","'INSSespero tenho fé que me responda"
"Fernando Novais","Nesta Semana completa 5 meses de espera para liberação do Benefício solicitado sempre que entramos em contato com o INSS pelo 135 respondem que está em processo queria saber por que toda essa demora. Conhecidos nossos que solicitaram sempre receberam em 1 ou 2 meses no máximo por mais que eu sai ..."
"Lane Gomes","Oi boa noite por favor me esclareça estou com 57 anos de idade e 29 de contribuição posso me aposentar  no 85   95 ?  Pois juntando minha idade e tempo de serviço daria 86 . Obrigada."
"Eliana Avila","É impossível tirar o extrato mensal. O anterior era melhor."
"Célia Rosane Moraes","Eu quero dar entrada na minha aponsetadoria.pois já estou com trezes carnes pago e tempo junto de carteira assinada junto da 55 tempo de contribuição quero uma resposta Célia rosane56@ gmail.com"
"Valdene Pessoa","Bom dia!Estou desempregada  e gostaria de saber se tenho direito ao salário  maternidade.Meu filho nasceu dia 02 08 2017Me falaram que tenho direitogostaria de confirmar."
"Edir Schetz Ricardo","Comecei a pagar o carnê  com o código 1007 em janeiro de 2014.já tenho 27 anos e alguns meses de contribuição pago sobre 2 salários minímos o que acontece se pagar de cada 6 meses em vez de todo mês tenho 58 anos se puder me ajudar ..."
"Ivone Domingos Lino","'Boa noiteLiguei hoje INSS e atendente me informou que eu tenho direito a me aposentar já  claro não integral mais porque alguns falam sim outros não?"
"Sergio Marques","Boa tarde gostaria de saber se é possível acertar (pagar) os atrasados pois cada funcionário dá uma resposta diferente paguei 2011 e 2012 tudo e um funcionário de me disse que está errado pois eu não podia pagar os atrasados. Foi calculado na agência do inss e que eu deveria ir na receita federal ..."
"Rodrigo Luis","Esse site ficou simplesmente Ridículo! A proposta é boa agrupar tudo em um único local mas não se consegue retirar nem um simples Histórico de Crédito de Benefício seja via web ou aplicativo! Sempre com erro de Serviço Indisponível. Pelo antigo Dataprev era tão simples fácil. Já entrei em contat ..."
"Lucia Ajudarte","'Entrei com recurso para correção de uma Certidão de  Tempo de Contribuição  em 29"
"Mary Nascimento de Aguirre","No site da Previdência  Social  não encontro situação  de  benefícios  concedidos  e tambem  não consigo á vários meses visualizar  meus extratos de benefícios   já tentei com outros  navegadores  e nada tambem   por favor peço que vcs tenham  um  pouco  mais  de consideração  com os assegurados   ..."
"Eliane Cardoso","A demora pra atendimento no INSS é uma vergonha o segurado paga há anos as suas contribuições e quando precisa do atendimento não funciona. Chega na agência dizem que não podem atender porque não tem servidores o suficiente o que está ocasionando a demora. Quando vocês irão resolver o problema de f ..."
"Rosana Dos Santos Martins","Tem mais de meses que tento ver o extrato do benefício é só dar indisponível? Já fiz reclamação e até agora não resolveram nada. Antes era tão fácil tirar uma dataprev."
"Daniela Gabriela","O 135 deveria ser liberado para celular gratuitamente. Não é todo mundo que tem fixo. Tenho várias dúvidas e não posso ligar porque fica caro a ligação do celular e não tem orelhoes próximos. Poderiam atualizar isso tbm."
"Joana Lopes","Eu fui ontem aqui no inss da minha cidade fiquei 2 horas esperando pra calcular o juro pois pago como dona de casa  e simplesmente a moça qdo me atendeu disse que eu estava com o mês 6 sem pagar eu falei não está pago tenho o comprovante em mãos ela nem se quer olhou ou me explicou o q estava acont ..."
"Zoraide Almeida","Bom diaVou dar entrada no pedido de aposentadoria por tempo de contribuição e gostaria de saber se mesmo já constando no cnis as 12 contribuições é necessário imprimir todas as guias e comprovantes de pagamento?"
"Previdência Social","#Previdência | Veja como fazê-la em nosso site no link: http://www.previdencia.gov.br/servicos-ao-cidadao/informacoes-gerais/renovacao-senha-bancaria-prova-vida/"
"Charles Alano Müller","Previdência Social este novo sistema Meu INSS não funciona. Minha mãe idosa precisa tirar um simples comprovante de renda (Histórico de Crédito de Benefício) para poder adquirir uma passagem rodoviária para tratamento médico URGENTE. Ela já tem login mas toda vez que entramos no site página histó ..."
"Eliana Bellecieri","E o e-recursos CONTINUA fora do ar apesar de vocês dizerem que não!!! Até quando??? <f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1><f0><U+009F><U+0098><U+00A1>"
"Hilda Daniell","Cuidado que e virus ...prova de vida so pessoalmente no banco que vc recebe ...n pode ser feito pelo site ...cuidado"
"Irene Vieira","É só ir direto no banco não fazer em sites podem roubar senhas e dados pessoais"
"Claudio Cesar","Um aposentado que continua trabalhando e recolhendo o benefício normalmente  ao adoecer e necessitar se afastar das atividades por mais de 15 dias teria direito ao salário da aposentadoria mais o referente ao afastamento?"
"Ari Vieira","Por favor vou ficar 3 meses fora do Brasil. Fiz prova de vida em dezembro de 2016 e como vou viajar dia 24 de outubro posso antecipar? Volto dia 19 de janeiro de 2018 posso fazer assim que voltar se não puder antecipar? Tem algum prazo depois de 31 de dezembro? Me orientem por favor."
"Drica Mores Vicentini","Hoje foi uma péssima funcionária que me atendeu no INSS. Quando cheguei na mesa número 12 depois de mais de duas horas esperando. Foi debochada intrometida falou alto não tem educação arrogante e não deixou eu explicar o que queria resolver. Levantou da cadeira ficou alterada na frente de todo  ..."
"Juliana Santos","E quem se aposentou   há poucos meses e ainda não  está pedindo"
"Silvana Araújo","Gostaria de saber   se   quem  recebe  pensão  por morte  tem  que  fazer  recasdastramento  assistência social  se a  viúva   receber  pelo  inss?"
"Lili Magalhaes","A prova de vida é feita para e com o INSS correto? Tem bancos fazendo contato com aposentados pedindo que se apresentem na agencia para que se faca isso. Fraude heim!!!"
"Rui Pereira","Sacanagem vc entrar com pedido de aposentadoria e ter que esperar 6 meses para dar entrada nos papeis até lá pagamos mais carga tributária"
"Valmir Santos","Se tem que fazer a prova de vida pra receber o benefício. Por que tanto ""defunto"" recebe o benefício"
"Maria Elizabeth Villacorta","O mês de aniversário do meu marido e Setembro ele tem que fazer quando?"
"Franz Wagner","HISTÓRICO DE CRÉDITO DE BENEF<c3>?CIOServiço indisponível no momento. Por favor tente mais tarde. Escolha o PeríodoDe:  01/08/2017Até:  20/09/2017 CONSULTAR"
"Thamyres Souza","Gostaria de saber se quem recebe pensão por morte tem que fazer mas a pensão faz pouco tempo quer recebo"
"Sevé Diniz","prova de vida levei minha mãe direto na agência bancaria é foi rápido"
"Kenia Efigenia","Prova de vida tem que fazer todo ano e só você ir no banco que recebe"
"Carmen Ruchlejmer","Agora é no Banco do Brasil. Portaria 395 de 23-11-2016."
"Roseane Rosa","Quem recebe loas tbm tem que ir no banco provar que tá vivo?"
"Valdir Martins","Faço o meu direto no banco não confio nestes sites!!!!"
"Antonio Fonseca","Quero pegar extrato e não posso mas o que esta acontecendo"
"Célia Vaz Vaz","Fiz no banco mais segurança"
"Eliana Bellecieri","Concordo. Mas deveriam haver também prova da honestidade dos políticos prova do bom e correto uso do dinheiro público prova de que a polícia está aí para a nossa segurança prova de que os hospitais atendem a população de maneira digna e por aí vai! Mas...... isso tudo se este fosse um país hones ..."
"Dine Dias","Boa tarde eu faço todo ano a prova de vida é bem fácil só ir ao banco que recebe o beneficio levando documento e na hora o caixa faz  sem burocracia geralmente quando eu vou receber na casa lotérica jé vem no extrato avisando para fazer a prova de vida  até o caixa alerta sobre isso  se não f ..."
"Nara Raquel","O site/sistema ""meu inss"" não funciona. Quero obter um simples extrato e nem cadastro da certo já tentei inclusive pelo 135. Melhorem seus serviços ao invés de dificultar a vida do cidadão!"
"Previdência Social","#Previdência |O salário-maternidade é um benefício pago às seguradas que acabaram de ter um filho seja por parto ou adoção ou aos segurados que adotem uma criança. Saiba mais em:http://www.previdencia.gov.br/servicos-ao-cidadao/todos-os-servicos/salario-maternidade/"
"Ismael Debora Katherine Ester","Pra requerer o Salário Maternidade tem que ter quanto tempo de Contribuição???"
"Danielle Garcia","Guando eu engravidei de gemeos eu tinha 17 anos e contribui 5meses guando trabalhei como menor aprendizhj minhas gêmeas tem 2anos e 8 mesesestou desempregadatenho direito ao salário maternidade?"
"Clara Beatriz","Ola queria saber se tenho direito a salário maternidade? Tenho 17 anos e minha filha fez um ano esse mês. Sou de uma familia de agricultoresAguardo a resposta OBG"
"Luciana Silvaa","Eu gostaria de saber se posso dar entrada no salario maternidade trabalhei de carteira assinada ja faz um ano que sai da empresa minha bebê tem 1  meis posso receber o salario maternidade"
"Eleny Pereira","Bom dia!Sai da empresa que trabalhei durante dois anos tem um ano e um mês!Gostaria de saber se tenho direito ao salário maternidade????"
"Glaucia G Lima","O mais difícil é conseguir agendar o atendimentoestou tentando já faz umas 3 semanastanto pelo site quanto por telefone e nada!!!!"
"Jessica Gabriel","Dei entrada no auxílio maternidade  levei todos os documentos que foi solicitado  chegou a carta de concessão do benefício  com as datas de pagamento porém o pagamento foi rejeitado  a falta de respeito com o cidadão que contribui e paga todos os impostos o sistema só faz para dificultar os noss ..."
"Nara Raquel","O site/sistema ""meu inss"" não funciona. Quero obter um simples extrato e nem cadastro da certo já tentei inclusive pelo 135. Melhorem seus serviços ao invés de dificultar a vida do cidadão!"
"Marilucia Joel","Olá  bom  dia qostaria  de  saber  se  uma  pessoa  que  contribui o  poucos  meses  de  carteira  assinada  hoje  elas  teve  bebê  mais  não  está  contribuindo ela  tem  o direito  de  receber  a  maternidade   ?Quantos meses"
"Adriana Dubczak Dal Bello","Encaminhei o meu dia 26/06/17 e até agora nenhum retorno <f0><U+009F><U+0098><U+00AF><f0><U+009F><U+0098>?meu bebê  completa 3 meses dia 22 e não consegui receber meu auxílio sendo que o prazo de resposta é 45 dias ...já abri chamado no 135 e nada...a maternidade é um momento para ser vivido com tranquilidade. ..ou pelo menos deveria. ..Muito  ..."
"Vihh Camara","Eu engravidei  liguei no 135 ( já faziam 4 anos sem contribuição) a atendente me informou que bastava eu contribuir com 3 meses e eu já teria direito depois que o meu bebê nascesse...pois bem paguei nove meses pra depois ouvir que seriam 10 meses...acho que deveriam instruir melhor os atendentes d ..."
"Tamires Ricelly","Recebi meus atrasados dia 29 de agosto e no dia 4 deste mês meu salario também saiu só que isso tirei na boca do caixa gostaria de saber já que meu cartão chegou hoje qual data vou ficar recebendo todo mês ?"
"Karllinha Fiuza","No sindicato tá pedindo o prontuário mas o posto médico não pode fornecer o que devo fazer pois vou da entrada no auxílio maternidade rural"
"Maiara Arthur","Bom dia.. meu ultimo emprego passou 1 ano e meio do prazo de segurado sai final de 2016 e ganho bb 6/2018 ... mas tenho 6 anos de carteira assinada tenho dirreito  a salário  maternidade"
"Vanessa Leitao","Boa tarde! Meu último registro em carteira  de 2008 a 2013 sendo que eu estava gestante pedi demissão da empresa pois mudei de cidade recebi o auxílio maternidade desta minha bebê mas depois de um ano e nove meses engravidei de novo da minha bebê que tem 2 anos e cinco meses hoje tem um bebê de 3 me ..."
"Ana Paula","Ola queria saber se tenho direito a salário maternidade. Tenho 31anos tou gravida vai nasce agora em outubro"
"Mirla Carvalho","Oi trabalhei seis meses de carteira assinada engravidei e sair do trabalho sera que eu tenho direito?"
"Tamires Ricelly","Se uma pessoa perdeu a visão por causa da diabete ela tem direito a entra com pedido de beneficio pela loas ?"
"Tamires Ricelly","Se eu recebo beneficio  aqui em Pernambuco e preciso viaja pra outro estado como faço para transferi meu beneficio ? Porque pra mim seria melhor porque de dois em dois anos tenho que fazer a prova de vida na agencia do meu banco ."
"João Felipe","Eu queria aproveitar a oportunidade e saber quando eu posso solicitar minha aposentadoria.SOU GAY!"
"Maria Helena Rodrigues Klusener","Olá gostaria de saber como faço para receber o auxílio doença que foi concedido consegui vizualizar no site após muitas tentativas mas ñ sei onde é como recebo onde moro ñ vem correspondência então ñ receberei a carta como vou me informar da data e local de pagamento do benefício?  Desde já ag ..."
"Ieda Cardoso","dei entrada na aposentadoria do meu marido quando ele fez 65anos dia 24de novembro agendou pra dar entrada dia 9de janeiro  chegando lá eles indefiriu perguntei ele falarão que não era nada com a gente era com eles ai mandarão aguardar a carta em casa  esperamos chegar aí foi rercuso foi marcado pra ..."
"Emily Duarte","gostaria de saber se tem como baixar uma procuração pelo site obg desde já."
"Josiane Melo","Meu bebê nasceu no dia 17 de setembro e  a última competência paga foi a de agosto de 2017"
"Josiane Melo","Bom dia Entrei com o pedido de salário maternidade no INSS e o mesmo foi indeferido por falta de carência. Tenho 8 contribuições pagas como contribuinte facultativo já trabalhei de carteira assinada de 2002 a 2005 2007 a 2008 de 2009 a 2010. Trabalhei 3 meses de carteira assinada em 2014. Gost ..."
"Previdência Social",NA
"Maria De Lourdes Pereira LC","Nao vi respostas da Previdencia. Mas a pergunta que nao quer calar e: Porque tantas empresas devem bilhoes ou trilhoes a Previdencia e voces nao FISCALIZAM? Porque NAO INTERDITAM essas empresas? Porque VOCES nao cobram essas dividas mas   empurram para a Receita Federal? E porque o Povo  tem que p ..."
"Rizolete Lorenzetti","Minha irmã deu entrada no pedido de aposentadoria por idade. Tudo certo segundo a atendente da previdência mas isso foi em 02 de Junho e até agora nenhuma resposta. Isso é normal?"
"Claudomiro da Costa","Boa tarde Completei 35 anos e 02 meses de contribuição em fevereiro de 2017 foi dado a  entrada do beneficio e até agora nada. Com faço pra ver onde está parada? Já se passaram 07 meses olho no sistema e diz que está habilitado também já liguei 135 e diz que está em avaliação. Juridicamente qua ..."
"Vânio Manoel Dos Passos","Gostaria de fazer mais uma pergunta. Meu irmão mora na área rural fez 60 anos trabalhou muito tempo na roça tanto com meus pais quanto de meeiro com outras pessoas na plantação de fumo mas tbm trabalhou por 09 anos em empresas em tempos diferentes contribuindo com o INSS. Ele não é registrado  ..."
"Neide Modesto","Boa tarde perdi meu filho e 7 anos de acidente de carro ele contribuía com o INSS  era dependente dele já entrei na agência de Curvelo e o processo voltou indeferido o que eu devo fazer pra conseguir a pensão por morte do meu filho?"
"Maria Soares","Eu pago o inss  de dona de casatenho 10 anos de carteira assinadae uns 3 anos no carne como dona de casaquando completar os 15 ano pagoe completar 60 anos.Já posso me aposentarou a lei também mudou pra donas de casa??"
"Ademilson Jose","olha estou realmente com um problema no joelho  coloquei na justiça fui recusado fiquei sete meses sem recebe pq estava aguardando a resposta da justiça. euvou volta ao trabalho.Mas eu devo alguma coisa ao inss?"
"Simoni Maria","Olá dei entrada na minha aposentadoria no dia 16/01/2017 contribui aqui em Portugal 8 anos e no Brasil 7 anos e tenho 65 anos. Esta semana fui ao SNS onde dei entrada e fui informada que já consta no sistema mas o problema é a resposta da Previdência do Brasil que nunca chega por isso a demora pod ..."
"Rosivaldo Simplicio Santos","Boa tarde!  Fiz um recurso administrativo no dia 10/07/2017 na  agencia agua branca em são paulo  capital solicitando apenas para reconsiderarem a data  D.E.R. para 11/07/2017 Porém até esta data(mais de 90 dias) não consta nada nem na internet. Por que essa demora?"
"Josilene Martins Souto","Boa tarde!Já contribui 20 anos trabalhando com registro em carteira.Não estou trabalhando registrado e gostaria de começar a pagar INSS mensalmente.Com a reforma estou bem dúvida qto a optar por tempo de contribuição ou por idade?Obrigada!"
"Michael Amorim Rocha","Boa tardeTenho 5 anos de contribuição como servidor público pela previdência oficial da prefeitura na qual não trabalho mais. Além disso tenho mais 6 anos de contribuição pela previdência social como funcionário de empresa privada e mais 1 ano como contribuinte individual (autônomo). Posso somar  ..."
"Davi Guedes","meu tio tem um barmais ele paga todos tipos de impostos e é legalizadoele compra umas bebidas e vem uns papeise quando chega final do ano ele tem que dar baixa nos comprovantes das bebidasisso contribui em sua aposentadoria? a cada ano que ele dar baixa nos papeis diminui 1 no para ele se aposen ..."
"Carmen Thomé","Não consigo visualizar meus extratos de pagamentos no site sempre informa que está ""indisponível no momento tente mais tarde""! Como faço para ter acesso aos extratos que há meses não consigo?"
"Tatyane Alves","Bom dia!Minha mãe era funcionário públicafaz uns 5 anos q ela parou de trabalhartem 15 anos contribuição INSS e mais de 15 anos sindicatoela sempre morou na zona ruralsempre trabalhou na roça tbm.Na época q ela casou era professoraentao na certidão consta  a profissão q tinha na época.semdo q p ..."
"Hiromi  Tsukahara","Meu marido tem 60 anos e 34 anos e 6 meses contribuídos e 3 meses que estão pagos mas não consta na lista do CNIS...como faço essa inclusão e qdo completar 35 anos pagos posso dar entrada na aposentadoria 85/95."
"Olivia Luiza Oln","Prezados após uma licença doença por um ano praticamente e voltando a trabalhar se eu vier a ter que comparecer ou colocar um atestado médico de um dia para o mesmo problema ou para qualquer outro problema  a empresa que paga o dia ou terei que ir ao INSS durante algum período para ganhar o valo ..."
"Adriana Barbosa","Boa tarde....Meu pai trabalhou por muitos anos "" armado""  em uma empresa de segurança.Quais benefícios na contagem dos anos isto acarretaria para ele?"
"Isaías Teixeira","Olá amigos alguém poderia me informar se existe a possibilidade de acessar o número de aposentados e pensionistas por município? Agradeceria muito. Felicidades!!!"
"Eduardo Dudu","Boa noite eu sou motorista de onibus meu salario é 2.270 reais sendo q me encostei e meu pagamento veio para 1.428 queria saber se eu me aposentar por invalides eu receberia quanto?"
"Denise Gonçalves","Boa. Noite  trabalhei 19 anos como auxiliar de dentista numa clinica  eu tinha insalubridade. Esse tempo que fui insalubre diminui tempo na minha aposentadoria??"
"Antonio Lima","Boa tarde minha mae e Pensionista ela quer tirar o beneficio dela do Banco Do Brasil e receber pela caixa economica como ela deve fazer pra mudar."
"Liz Elizabeth Rosignoli","Bom dia... vou fazer 60 anos em dezembro...já posso agendar perícia. .? Como saber qto tempo ja tenho pago?"
"Luiza Almeida","Boa noite! Sra previdênciaSe a pessoa se aposentar com 55 anos  com 30 anos de tralho e continuar trabalhando até os 60anos existe ainda algum valor a ser recebido? Tipo desaposentacao?"
"Rosemary Sousa","Pago minha previdência desde os meus 18 anos hoje tenho 58 anos continuo pagando 20% sobre o salário mínimo. Há um ano meu marido faleceu assim me tornei pensionista vou poder me aposentar quando fizer meus 60 anos em 2019????"
"Helena Ferreira","Boa noite eu trabalhei 25 anos e 8 meses em uma firma só e me aposentei com o salário mínimo tá certo isto eu não tenho direito de fazer a revisão"
"Previdência Social","#Previdência |Esse e outros serviços do INSS agora estão disponíveis no site https://meu.inss.gov.br/central/index.html Acesse o link e cadastre sua senha sem sair de casa."
"Cris Argenton","Têm alguns serviços que não estão funcionando por esse endereço há vários dias. Como devemos proceder? Não consigo de maneira alguma o histórico do benefício."
"Denis Gustavo Pereira Do Santos","Estou consultando a dois dias e diz o seguinte ""Não constam vínculos para essa inscrição"" Mas mês passado eu consultei e apareceu as informações das empresas onde trabalhei. O sistema está fora do ar? Obrigado."
